Date,Open,High,Low,Close,Volume
03/10/2023,"134.45","135.00","132.61","133.11","4,088,790"
03/09/2023,"136.89","137.16","134.91","135.39","3,352,720"
03/08/2023,"135.71","137.23","135.71","137.06","2,711,847"
03/07/2023,"137.21","137.21","135.62","136.54","2,226,903"
03/06/2023,"136.86","137.78","136.63","137.21","2,781,234"
03/03/2023,"136.71","137.19","136.50","136.75","3,257,946"
03/02/2023,"133.60","136.38","133.09","136.21","3,822,285"
03/01/2023,"136.65","137.05","132.35","133.62","5,951,361"
02/28/2023,"137.68","138.80","137.48","138.54","3,941,267"
02/27/2023,"137.50","138.77","137.42","138.04","1,882,279"
02/24/2023,"135.35","137.28","135.14","137.22","2,826,130"
02/23/2023,"137.00","137.19","135.40","135.87","2,714,422"
02/22/2023,"137.75","137.82","136.35","136.55","4,922,325"
02/21/2023,"138.30","138.65","137.71","138.23","3,834,353"
02/17/2023,"137.76","139.35","137.76","138.79","5,139,910"
02/16/2023,"138.31","139.38","138.31","138.54","5,294,361"
02/15/2023,"137.99","138.76","137.78","138.67","5,379,824"
02/14/2023,"138.77","139.25","138.06","138.85","2,513,787"
02/13/2023,"138.75","139.44","138.35","138.99","4,339,967"
02/10/2023,"138.76","139.23","138.26","138.76","4,095,739"
02/09/2023,"139.99","140.18","138.55","139.25","3,103,017"
02/08/2023,"138.23","139.64","138.04","139.55","3,103,925"
02/07/2023,"137.59","139.07","137.42","138.62","5,276,288"
02/06/2023,"137.63","138.25","137.07","138.12","7,063,600"
02/03/2023,"136.50","138.20","136.46","138.15","4,559,057"
02/02/2023,"136.65","137.09","136.01","136.39","3,754,957"
02/01/2023,"136.21","137.33","135.61","136.49","4,966,972"
01/31/2023,"135.40","136.30","134.71","136.16","4,103,108"
01/30/2023,"134.01","135.24","134.01","135.07","4,274,193"
01/27/2023,"135.86","135.95","134.54","134.65","3,776,424"
01/26/2023,"133.78","135.74","133.73","135.61","11,180,380"
01/25/2023,"133.62","133.88","132.88","133.49","14,669,080"
01/24/2023,"134.54","135.24","134.06","135.12","5,401,734"
01/23/2023,"135.00","135.22","133.58","134.73","12,461,820"
01/20/2023,"134.52","134.74","133.79","134.71","6,311,590"
01/19/2023,"133.89","134.71","133.70","134.47","4,474,340"
01/18/2023,"135.46","135.90","134.47","134.57","7,128,766"
01/17/2023,"134.97","135.68","134.56","135.30","8,033,839"
01/16/2023,"134.00","135.14","134.00","134.69","3,427,272"
01/13/2023,"132.90","134.71","132.90","134.28","3,351,343"
01/12/2023,"133.00","134.00","132.55","133.45","13,776,570"
01/11/2023,"133.20","133.70","132.41","132.77","2,530,279"
01/10/2023,"131.51","133.00","131.17","132.90","4,505,302"
01/09/2023,"130.82","131.83","130.57","131.40","3,719,736"
01/06/2023,"129.02","130.47","128.82","130.43","3,559,425"
01/05/2023,"128.02","129.03","127.87","128.79","2,219,369"
01/04/2023,"128.50","130.05","128.14","129.17","3,282,498"
01/03/2023,"128.41","128.86","127.36","128.03","4,506,700"
12/30/2022,"128.12","128.75","126.68","127.30","3,545,797"
12/29/2022,"128.15","128.88","127.82","128.66","3,256,115"
12/28/2022,"127.56","128.66","127.30","127.71","3,163,145"
12/23/2022,"127.72","128.45","127.26","128.28","2,134,624"
12/22/2022,"128.00","128.29","126.35","127.73","2,441,099"
12/21/2022,"128.14","129.31","128.09","128.67","2,183,825"
12/20/2022,"127.54","128.46","127.08","127.50","3,750,494"
12/19/2022,"128.00","128.59","126.40","126.76","2,569,136"
12/16/2022,"127.20","128.55","127.19","127.96","6,758,454"
12/15/2022,"128.54","128.92","127.35","128.22","1,972,726"
12/14/2022,"130.13","130.88","129.15","129.42","1,800,782"
12/13/2022,"133.55","133.60","128.84","130.16","3,958,432"
12/12/2022,"131.35","132.42","130.53","132.13","3,033,999"
12/09/2022,"131.23","131.71","130.72","130.91","1,238,511"
12/08/2022,"132.00","132.41","130.47","131.29","1,869,721"
12/07/2022,"132.22","132.39","131.44","131.89","1,648,346"
12/06/2022,"133.80","134.02","131.29","132.28","1,888,427"
12/05/2022,"133.63","134.01","133.02","133.68","3,049,129"
12/02/2022,"133.89","134.78","133.50","134.21","1,374,177"
12/01/2022,"134.46","135.45","133.15","134.67","2,397,115"
11/30/2022,"134.80","134.90","131.66","133.78","5,769,826"
11/29/2022,"132.74","133.99","131.09","133.77","2,502,901"
11/28/2022,"134.56","135.44","132.95","133.21","2,548,091"
11/25/2022,"134.83","135.43","134.66","134.81","1,751,262"
11/24/2022,"134.85","135.43","134.57","134.79","1,714,712"
11/23/2022,"134.72","135.69","134.12","134.69","2,627,442"
11/22/2022,"133.10","135.18","132.78","134.83","3,876,661"
11/21/2022,"132.49","133.00","132.15","132.95","5,381,650"
11/18/2022,"133.00","133.75","132.58","132.70","2,217,016"
11/17/2022,"130.57","132.35","130.55","132.32","3,388,319"
11/16/2022,"131.65","131.78","130.93","131.52","5,651,009"
11/15/2022,"132.56","132.99","130.75","131.78","2,438,841"
11/14/2022,"131.55","132.13","131.28","131.66","5,177,443"
11/11/2022,"131.31","132.13","130.55","131.68","2,619,821"
11/10/2022,"129.80","131.38","129.04","130.89","3,746,130"
11/09/2022,"128.49","129.02","127.41","127.87","2,348,623"
11/08/2022,"128.26","129.57","128.20","128.71","1,723,980"
11/07/2022,"127.84","128.64","127.29","128.21","3,576,744"
11/04/2022,"126.34","127.71","126.32","127.32","2,591,654"
11/03/2022,"124.96","125.87","124.65","125.43","3,855,201"
11/02/2022,"125.87","127.70","125.50","125.72","3,766,859"
11/01/2022,"126.93","127.21","125.66","126.07","1,824,929"
10/31/2022,"125.45","126.70","125.44","126.05","3,120,025"
10/28/2022,"124.98","125.75","124.75","125.57","2,748,083"
10/27/2022,"125.14","125.90","124.39","124.70","5,100,345"
10/26/2022,"123.41","125.52","123.20","124.35","3,892,292"
10/25/2022,"122.05","124.18","122.05","123.88","16,054,250"
10/24/2022,"125.01","125.11","124.03","124.54","5,171,331"
10/21/2022,"122.38","123.84","121.31","123.73","3,283,751"
10/20/2022,"122.76","123.51","121.22","121.73","5,746,312"
10/19/2022,"123.33","123.90","122.11","123.28","4,165,834"
10/18/2022,"125.56","125.91","123.95","124.20","7,798,771"
10/17/2022,"123.25","124.67","123.24","123.58","6,195,465"
10/14/2022,"122.80","123.74","121.44","121.94","5,804,714"
10/13/2022,"117.53","122.86","116.75","122.02","7,045,864"
10/12/2022,"118.00","119.31","117.67","118.67","2,905,612"
10/11/2022,"120.36","120.59","117.80","118.08","5,396,799"
10/07/2022,"123.90","124.01","120.58","121.01","4,588,508"
10/06/2022,"127.89","128.00","123.65","124.56","9,722,492"
10/05/2022,"127.52","128.31","127.21","128.15","1,574,338"
10/04/2022,"126.87","129.23","126.71","128.70","4,305,396"
10/03/2022,"124.89","126.50","124.33","125.45","2,274,849"
09/30/2022,"124.75","126.00","124.17","124.37","1,982,478"
09/29/2022,"124.00","124.66","123.11","124.43","2,883,254"
09/28/2022,"122.49","125.43","122.26","124.72","2,577,350"
09/27/2022,"124.58","124.77","122.75","123.01","2,511,214"
09/26/2022,"122.68","124.42","122.50","123.89","3,072,268"
09/23/2022,"123.66","123.98","122.37","123.40","2,920,600"
09/22/2022,"126.00","126.28","124.92","124.98","1,905,867"
09/21/2022,"127.75","127.98","125.55","125.61","2,154,897"
09/20/2022,"127.38","127.45","126.15","127.25","2,718,658"
09/19/2022,"125.94","127.86","125.35","127.61","2,614,801"
09/16/2022,"126.88","127.35","125.97","126.45","6,981,157"
09/15/2022,"126.98","129.16","126.61","127.91","2,643,413"
09/14/2022,"127.27","127.86","126.42","126.98","2,386,057"
09/13/2022,"127.46","127.98","126.52","126.89","1,903,398"
09/12/2022,"128.33","129.41","128.02","128.93","2,317,207"
09/09/2022,"126.45","128.10","126.40","127.68","1,781,511"
09/08/2022,"123.58","125.85","123.20","125.64","1,735,167"
09/07/2022,"122.18","124.42","121.74","123.92","1,989,916"
09/06/2022,"123.11","123.80","121.25","122.50","2,400,688"
09/02/2022,"123.00","124.75","122.62","123.04","2,857,663"
09/01/2022,"121.50","122.02","120.28","121.89","2,598,381"
08/31/2022,"123.15","123.42","122.13","122.13","2,395,839"
08/30/2022,"125.33","125.94","122.82","123.15","2,205,734"
08/29/2022,"123.75","125.28","123.60","125.07","1,867,963"
08/26/2022,"126.02","126.59","124.95","124.97","2,148,678"
08/25/2022,"123.61","126.43","123.13","125.76","3,446,617"
08/24/2022,"123.50","124.01","121.81","123.20","4,705,149"
08/23/2022,"126.54","126.90","125.85","126.49","3,199,850"
08/22/2022,"127.70","127.94","126.68","127.63","3,192,855"
08/19/2022,"129.10","129.19","128.16","129.05","2,898,384"
08/18/2022,"129.10","129.95","129.00","129.60","1,952,037"
08/17/2022,"128.70","129.17","128.39","129.07","4,121,327"
08/16/2022,"128.11","129.66","128.04","129.26","1,900,080"
08/15/2022,"127.87","128.48","127.32","128.45","5,419,436"
08/12/2022,"127.71","128.29","126.93","128.03","2,393,507"
08/11/2022,"126.30","127.08","126.20","126.89","2,977,552"
